date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-06-26,296.0,239706.0,34.0,34678.0,28331.0,2233806.0,3964.5840678187897,573.5519607511701,36945.72383752605
2020-06-27,255.0,239961.0,30.0,34708.0,29721.0,2263527.0,3968.8016048737395,574.0481415811643,37437.2901858012
2020-06-28,175.0,240136.0,8.0,34716.0,21183.0,2284710.0,3971.695993048705,574.1804564691627,37787.64346986003
2020-06-29,174.0,240310.0,22.0,34738.0,15484.0,2300194.0,3974.5738418626706,574.5443224111583,38043.73893558097
2020-06-30,126.0,240436.0,6.0,34744.0,28471.0,2328665.0,3976.657801348646,574.6435585771571,38514.63108260637
2020-07-01,142.0,240578.0,23.0,34767.0,29325.0,2357990.0,3979.006390610618,575.0239638801526,38999.647843925595
2020-07-02,182.0,240760.0,21.0,34788.0,29147.0,2387137.0,3982.0165543125822,575.3712904611485,39481.72059898685
2020-07-03,201.0,240961.0,30.0,34818.0,25680.0,2412817.0,3985.3409658735427,575.8674712911426,39906.45138946179
2020-07-04,223.0,241184.0,15.0,34833.0,28946.0,2441763.0,3989.0292433764985,576.1155617061396,40385.19973296209
2020-07-05,235.0,241419.0,21.0,34854.0,21166.0,2462929.0,3992.915993211452,576.4628882871355,40735.27184788392
2020-07-06,192.0,241611.0,7.0,34861.0,13771.0,2476700.0,3996.0915505234148,576.5786638141341,40963.035388212214
2020-07-07,208.0,241819.0,8.0,34869.0,22490.0,2499190.0,3999.5317376113735,576.7109787021325,41335.005617097784
2020-07-08,137.0,241956.0,30.0,34899.0,28679.0,2527869.0,4001.7976300683467,577.2071595321266,41809.337951211135
2020-07-09,193.0,242149.0,15.0,34914.0,29947.0,2557816.0,4004.9897267413085,577.4552499471237,42304.642195072236
2020-07-10,214.0,242363.0,12.0,34926.0,27251.0,2585067.0,4008.5291499952664,577.6537222791213,42755.35632167787
2020-07-11,276.0,242639.0,12.0,34938.0,25449.0,2610516.0,4013.094013631212,577.852194611119,43176.266519761855
2020-07-12,188.0,242827.0,7.0,34945.0,23061.0,2633577.0,4016.203413499175,577.9679701381176,43557.680723778314
