id,name,added_at,duration_sec,popularity,artists,genres
4c8erEn1DjLoDp0CRLkNnq,Nachde Ne Saare,2023-02-10T09:12:47Z,194.761,63,"[{'artist': 'Jasleen Royal', 'artist_id': '74OaRjmyh0XyRZsQQQ5l7c'}, {'artist': 'Harshdeep Kaur', 'artist_id': '3xU8YsNNkmWSPewlB18NUz'}, {'artist': 'Siddharth Mahadevan', 'artist_id': '7hwEGO7U6JwQ7M1teoO8GW'}]","['desi pop', 'filmi', 'indian singer-songwriter', 'modern bollywood', 'sufi']"
3TAhWtQnpoL5Vl9VQPl9fU,Senorita,2023-02-10T09:11:16Z,229.57500000000002,60,"[{'artist': 'Farhan Akhtar', 'artist_id': '0XL6ie7a0NY5FM05b9Rn5L'}, {'artist': 'Hrithik Roshan', 'artist_id': '5TWDvkVWG1vayan1QA9q8U'}, {'artist': 'Abhay Deol', 'artist_id': '1WTFOsRsg1Vzx5NzyE53JR'}, {'artist': 'Maria Del Mar Fernandez', 'artist_id': '1BUoAbyYuvOr13MjHqgdOy'}]","['desi pop', 'filmi', 'indian indie', 'modern bollywood']"
5gN3uHEvCU4Ui6RBCN1lEA,Life Is Crazy,2023-02-10T09:07:25Z,221.8,45,"[{'artist': 'Shankar-Ehsaan-Loy', 'artist_id': '0L5GV6LN8SWWUWIdBbTLTZ'}, {'artist': 'Uday Benegal', 'artist_id': '4UUhpxk7Znfhj3DfZycudP'}, {'artist': 'Shankar Mahadevan', 'artist_id': '1SJOL9HJ08YOn92lFcYf8a'}, {'artist': 'Loy Mendonsa', 'artist_id': '1KIKn2xA1mgC7uJTcS1hEU'}, {'artist': 'Alyssa Mendonsa', 'artist_id': '279ZItWl3nzCaO4SJJdzAN'}]","['desi pop', 'filmi', 'modern bollywood']"
3JbujPTeag5mDMAcye3vDD,Choomantar,2023-02-10T09:06:12Z,260.414,50,"[{'artist': 'Sohail Sen', 'artist_id': '1bTROl5p3rGTpvKeWnGgrw'}, {'artist': 'Benny Dayal', 'artist_id': '61if35zz1W11GejEkxTLEQ'}, {'artist': 'Aditi Singh Sharma', 'artist_id': '4iW4xSfMEIvrXM0Iu3aFDY'}, {'artist': 'Irshad Kamil', 'artist_id': '3GdSQUH1BRtl9UrrtuwJlP'}]","['desi pop', 'filmi', 'modern bollywood', 'tollywood']"
3rsx3pDYM3a08O0Yu3Tq6V,Pretty Woman,2023-02-10T07:58:58Z,353.88,56,"[{'artist': 'Shankar-Ehsaan-Loy', 'artist_id': '0L5GV6LN8SWWUWIdBbTLTZ'}, {'artist': 'Shankar Mahadevan', 'artist_id': '1SJOL9HJ08YOn92lFcYf8a'}, {'artist': 'Ravi ""Rags"" Khote', 'artist_id': '7jhqJGN86YT2lS3i1HgO13'}]","['desi pop', 'filmi', 'modern bollywood']"
2vB9ME0oZwfTGAUMC71CaT,Missing Piece,2023-02-09T04:50:46Z,215.84,63,"[{'artist': 'Vance Joy', 'artist_id': '10exVja0key0uqUkk6LJRT'}]","['folk-pop', 'pop']"
1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,2023-02-09T04:22:02Z,231.826,82,"[{'artist': 'Taylor Swift', 'artist_id': '06HL4z0CvFAxyc27GXpf02'}]",['pop']
567e29TDzLwZwfDuEpGTwo,STAY (with Justin Bieber),2023-02-09T04:21:59Z,141.805,81,"[{'artist': 'The Kid LAROI', 'artist_id': '2tIP7SsRs7vjIcLrU85W8J'}, {'artist': 'Justin Bieber', 'artist_id': '1uNFoZAHBGtllmzznpCI3s'}]","['australian hip hop', 'pop', 'canadian pop']"
5cF0dROlMOK5uNZtivgu50,Attention,2023-02-09T04:21:55Z,208.786,79,"[{'artist': 'Charlie Puth', 'artist_id': '6VuMaDnrHyPL1p4EHjYLi7'}]","['dance pop', 'pop', 'viral pop']"
7bad461siaxECNlaYsmIo6,Love Story,2023-02-09T04:21:51Z,236.25300000000001,46,"[{'artist': 'Taylor Swift', 'artist_id': '06HL4z0CvFAxyc27GXpf02'}]",['pop']
1BzYFQWjXHLZ0c7AGJtL1Z,forever&more,2023-02-09T04:21:39Z,176.44,61,"[{'artist': 'ROLE MODEL', 'artist_id': '1dy5WNgIKQU6ezkpZs4y8z'}]","['bedroom pop', 'pop']"
2iuZJX9X9P0GKaE93xcPjk,Sugar,2023-02-09T04:21:25Z,235.493,78,"[{'artist': 'Maroon 5', 'artist_id': '04gDigrS5kc9YWfZHwBETP'}]",['pop']
5NDUXbMwcnTQp66tI2zcdR,Fresh Eyes,2023-02-09T04:21:19Z,198.001,63,"[{'artist': 'Andy Grammer', 'artist_id': '2oX42qP5ineK3hrhBECLmj'}]","['dance pop', 'neo mellow', 'pop', 'pop rap', 'pop rock', 'post-teen pop']"
7wBrglFVTNCcW6IhdgBkm1,Paradise,2023-02-09T04:21:17Z,278.719,38,"[{'artist': 'Coldplay', 'artist_id': '4gzpq5DPGxSnKTe4SA8HAU'}]","['permanent wave', 'pop']"
3OaBCFROgrLRbZGCFP6E3M,You Belong With Me,2023-02-09T04:21:09Z,232.12,48,"[{'artist': 'Taylor Swift', 'artist_id': '06HL4z0CvFAxyc27GXpf02'}]",['pop']
4Dvkj6JhhA12EX05fT7y2e,As It Was,2023-02-09T04:20:56Z,167.303,89,"[{'artist': 'Harry Styles', 'artist_id': '6KImCVD70vtIoJWnq6nGn3'}]",['pop']
